date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:47	76937/76937	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Dec%202023%2014:48:37%20GMT	https://satumomen.com/preview/vintage-peacock	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/preview/vintage-peacock.html	(from )
21:46:48	83/83	---MCZ	200	added ('OK')	text/plain	etag:W/%2264739ad7-43%22	https://satumomen.com/robots.txt		(from )
21:46:48	30659/30659	---M--	200	added ('OK')	image/png	etag:%22ad67cc8d1d3457f488ab212ba07ca855%22	https://assets.satumomen.com/images/media/1-media-1690692406.png	D:/DATA%20D/HAE/Undangan/Nginvite-v2/assets.satumomen.com/images/media/1-media-1690692406.png	(from https://satumomen.com/preview/vintage-peacock)
21:46:48	131854/131854	---M--	200	added ('OK')	image/jpeg	etag:%22652a81e8-2030e%22	https://satumomen.com/themes/vintage-peacock/vintage-peacock.jpg	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/themes/vintage-peacock/vintage-peacock.jpg	(from https://satumomen.com/preview/vintage-peacock)
21:46:48	5002/5002	---MCZ	200	added ('OK')	text/css	etag:W/%2264aaefd9-138a%22	https://satumomen.com/plugins/splide@4.1.4/splide.min.css	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/plugins/splide@4.1.4/splide.min.css	(from https://satumomen.com/preview/vintage-peacock)
21:46:48	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2264aaefd9-11846%22	https://satumomen.com/plugins/animate.css@4.1.1/animate.min.css	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/plugins/animate.css@4.1.1/animate.min.css	(from https://satumomen.com/preview/vintage-peacock)
21:46:49	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad8-235ed%22	https://satumomen.com/themes/bootstrap.min.css	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/themes/bootstrap.min.css	(from https://satumomen.com/preview/vintage-peacock)
21:46:49	70315/70315	---MCZ	200	added ('OK')	text/css	etag:%22112ab-HlXn7V2xggH/z1ceEbulvvURgjo%22	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	D:/DATA%20D/HAE/Undangan/Nginvite-v2/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css	(from https://satumomen.com/preview/vintage-peacock)
21:46:49	6134/6134	---MCZ	200	added ('OK')	text/css	etag:W/%22653e9027-17f6%22	https://satumomen.com/themes/themes.css?v=191123	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/themes/themesda7b.css	(from https://satumomen.com/preview/vintage-peacock)
21:46:49	250/250	---MCZ	200	added ('OK')	text/css	etag:W/%226489465f-fa%22	https://satumomen.com/fonts/million_dreams/fonts.css	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/million_dreams/fonts.css	(from https://satumomen.com/preview/vintage-peacock)
21:46:50	409/409	---MCZ	200	added ('OK')	text/css	etag:W/%2264739ad6-199%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.css	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/brittany_signature/BrittanySignature.css	(from https://satumomen.com/preview/vintage-peacock)
